Learning Area,Element,Sub-element,Progression level,Subheading,Indicator ID,Indicator order,Indicator text (verbatim),Indicator text (no examples),Example / elaboration,Relevant – Foundation,Relevant – Year 1,Relevant – Year 2,Relevant – Year 3,Relevant – Year 4,Relevant – Year 5,Relevant – Year 6,Relevant – Year 7,Relevant – Year 8,Relevant – Year 9,Relevant – Year 10
Numeracy,Number sense and algebra,Number and place value,1,Numeral recognition and identification,NUM-NSA-NPV-L1-I01,1,"identifies and produces familiar number names and numerals such as those associated with age or home address, but may not distinguish whether they refer to a quantity, an ordinal position or a label (e.g. “I am 5 and my sister is 7”; “I wear the number 7 jumper”; “I live at 4 Baker Street”; “this is the number 2”)","identifies and produces familiar number names and numerals such as those associated with age or home address, but may not distinguish whether they refer to a quantity, an ordinal position or a label ",e.g. “I am 5 and my sister is 7”; “I wear the number 7 jumper”; “I live at 4 Baker Street”; “this is the number 2”),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV-L1-I02,2,compares 2 collections visually and states which group has more items and which group has less,compares 2 collections visually and states which group has more items and which group has less,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV-L1-I03,3,instantly recognises collections up to 3 without needing to count and recognises small quantities as being the same or different,instantly recognises collections up to 3 without needing to count and recognises small quantities as being the same or different,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV-L1-I04,4,uses language to describe order and place (e.g. understands “who wants to go first?”; in the middle; “who was the last person to read this book?”),uses language to describe order and place ,e.g. understands “who wants to go first?”; in the middle; “who was the last person to read this book?”),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Numeral recognition and identification,NUM-NSA-NPV2-L1-I01,1,"identifies and produces familiar number names and numerals such as those associated with age or home address, but may not distinguish whether they refer to a quantity, an ordinal position or a label (e.g. “I am 5 and my sister is 7”; “I wear the number 7 jumper”; “I live at 4 Baker Street”; “this is the number 2”)","identifies and produces familiar number names and numerals such as those associated with age or home address, but may not distinguish whether they refer to a quantity, an ordinal position or a label ",e.g. “I am 5 and my sister is 7”; “I wear the number 7 jumper”; “I live at 4 Baker Street”; “this is the number 2”),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV2-L1-I02,2,compares 2 collections visually and states which group has more items and which group has less,compares 2 collections visually and states which group has more items and which group has less,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV2-L1-I03,3,instantly recognises collections up to 3 without needing to count and recognises small quantities as being the same or different,instantly recognises collections up to 3 without needing to count and recognises small quantities as being the same or different,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV2-L1-I04,4,uses language to describe order and place (e.g. understands “who wants to go first?”; in the middle; “who was the last person to read this book?”),uses language to describe order and place ,e.g. understands “who wants to go first?”; in the middle; “who was the last person to read this book?”),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Numeral recognition and identification,NUM-NSA-NPV-L2-I01,1,"identifies and names numerals in the range of 1–10 (e.g. when asked “which is 3?” points to the numeral 3; when shown the numeral 5, says “that’s 5”)",identifies and names numerals in the range of 1–10 ,"e.g. when asked “which is 3?” points to the numeral 3; when shown the numeral 5, says “that’s 5”)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Numeral recognition and identification,NUM-NSA-NPV-L2-I02,2,"matches a quantity of items in a collection to the correct number name or numeral in the range of 1–10 (e.g. when shown the numeral 5 and asked to “go and collect this many items”, gathers 5 items)",matches a quantity of items in a collection to the correct number name or numeral in the range of 1–10 ,"e.g. when shown the numeral 5 and asked to “go and collect this many items”, gathers 5 items)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Numeral recognition and identification,NUM-NSA-NPV-L2-I03,3,"identifies standard number configurations such as on standard dice or dominos and in other arrangements up to 6, using subitising (e.g. moves a counter the correct number of places on a board game based on the roll of a dice; recognises a collection of 5 items by perceptually subitising 3 and 2)","identifies standard number configurations such as on standard dice or dominos and in other arrangements up to 6, using subitising ",e.g. moves a counter the correct number of places on a board game based on the roll of a dice; recognises a collection of 5 items by perceptually subitising 3 and 2),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Developing place value,NUM-NSA-NPV-L2-I04,4,orders numbers represented by numerals to at least 10 (e.g. uses number cards or a number track and places the numerals 1–10 in the correct order),orders numbers represented by numerals to at least 10 ,e.g. uses number cards or a number track and places the numerals 1–10 in the correct order),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Developing place value,NUM-NSA-NPV-L2-I05,5,"indicates the greater or lesser of 2 numerals in the range from one to 10 (e.g. when shown the numerals 6 and 3, identifies 3 as representing the lesser amount)",indicates the greater or lesser of 2 numerals in the range from one to 10 ,"e.g. when shown the numerals 6 and 3, identifies 3 as representing the lesser amount)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Developing place value,NUM-NSA-NPV-L2-I06,6,"identifies smaller collections within collections to 10, such as numbers represented in non-standard number configurations (e.g. recognises 7 dots represented in a non-standard configuration by perceptually subitising 4 and 3; represents numbers less than 10 using five- and ten-frames) ","identifies smaller collections within collections to 10, such as numbers represented in non-standard number configurations ",e.g. recognises 7 dots represented in a non-standard configuration by perceptually subitising 4 and 3; represents numbers less than 10 using five- and ten-frames) ,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Developing place value,NUM-NSA-NPV-L2-I07,7,demonstrates that one 10 is the same as 10 ones (e.g. using physical or virtual materials such as ten-frames and bundles of 10),demonstrates that one 10 is the same as 10 ones ,e.g. using physical or virtual materials such as ten-frames and bundles of 10),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Numeral recognition and identification,NUM-NSA-NPV2-L2-I01,1,"identifies and names numerals in the range of 1–10 (e.g. when asked “which is 3?” points to the numeral 3; when shown the numeral 5, says “that’s 5”)",identifies and names numerals in the range of 1–10 ,"e.g. when asked “which is 3?” points to the numeral 3; when shown the numeral 5, says “that’s 5”)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Numeral recognition and identification,NUM-NSA-NPV2-L2-I02,2,"matches a quantity of items in a collection to the correct number name or numeral in the range of 1–10 (e.g. when shown the numeral 5 and asked to “go and collect this many items”, gathers 5 items)",matches a quantity of items in a collection to the correct number name or numeral in the range of 1–10 ,"e.g. when shown the numeral 5 and asked to “go and collect this many items”, gathers 5 items)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Numeral recognition and identification,NUM-NSA-NPV2-L2-I03,3,"identifies standard number configurations such as on standard dice or dominos and in other arrangements up to 6, using subitising (e.g. moves a counter the correct number of places on a board game based on the roll of a dice; recognises a collection of 5 items by perceptually subitising 3 and 2)","identifies standard number configurations such as on standard dice or dominos and in other arrangements up to 6, using subitising ",e.g. moves a counter the correct number of places on a board game based on the roll of a dice; recognises a collection of 5 items by perceptually subitising 3 and 2),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Developing place value,NUM-NSA-NPV2-L2-I04,4,orders numbers represented by numerals to at least 10 (e.g. uses number cards or a number track and places the numerals 1–10 in the correct order),orders numbers represented by numerals to at least 10 ,e.g. uses number cards or a number track and places the numerals 1–10 in the correct order),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Developing place value,NUM-NSA-NPV2-L2-I05,5,"indicates the greater or lesser of 2 numerals in the range from one to 10 (e.g. when shown the numerals 6 and 3, identifies 3 as representing the lesser amount)",indicates the greater or lesser of 2 numerals in the range from one to 10 ,"e.g. when shown the numerals 6 and 3, identifies 3 as representing the lesser amount)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Developing place value,NUM-NSA-NPV2-L2-I06,6,"identifies smaller collections within collections to 10, such as numbers represented in non-standard number configurations (e.g. recognises 7 dots represented in a non-standard configuration by perceptually subitising 4 and 3; represents numbers less than 10 using five- and ten-frames)","identifies smaller collections within collections to 10, such as numbers represented in non-standard number configurations ",e.g. recognises 7 dots represented in a non-standard configuration by perceptually subitising 4 and 3; represents numbers less than 10 using five- and ten-frames),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Developing place value,NUM-NSA-NPV2-L2-I07,7,demonstrates that one 10 is the same as 10 ones (e.g. using physical or virtual materials such as ten-frames and bundles of 10),demonstrates that one 10 is the same as 10 ones ,e.g. using physical or virtual materials such as ten-frames and bundles of 10),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Numeral recognition and identification,NUM-NSA-NPV-L3-I01,1,"identifies, names, writes and interprets numerals up to 20 (e.g. when shown the numerals 4, 17, 9 and 16 and asked “which is 16?”, points to the numeral 16, or when shown the numeral 17 says its correct name; when role-playing simple money transactions, counts out 9 one-dollar coins to pay for an item that costs $9)","identifies, names, writes and interprets numerals up to 20 ","e.g. when shown the numerals 4, 17, 9 and 16 and asked “which is 16?”, points to the numeral 16, or when shown the numeral 17 says its correct name; when role-playing simple money transactions, counts out 9 one-dollar coins to pay for an item that costs $9)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Numeral recognition and identification,NUM-NSA-NPV-L3-I02,2,identifies and uses the 1–9 repeating sequence in the writing of teen numerals,identifies and uses the 1–9 repeating sequence in the writing of teen numerals,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Numeral recognition and identification,NUM-NSA-NPV-L3-I03,3,identifies a whole quantity as the result of recognising smaller quantities up to 20 (e.g. uses part-part-whole knowledge of numbers to solve problems),identifies a whole quantity as the result of recognising smaller quantities up to 20 ,e.g. uses part-part-whole knowledge of numbers to solve problems),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Developing place value,NUM-NSA-NPV-L3-I04,4,orders numbers from 1–20 (e.g. determines the largest number from a group of numbers in the range from one to 20; students are allocated a number between one and 20 and asked to arrange themselves in numerical order),orders numbers from 1–20 ,e.g. determines the largest number from a group of numbers in the range from one to 20; students are allocated a number between one and 20 and asked to arrange themselves in numerical order),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Developing place value,NUM-NSA-NPV-L3-I05,5,represents and describes teen numbers as 10 and some more (e.g. 16 is 10 and 6 more; using ten-frames to represent teen numbers),represents and describes teen numbers as 10 and some more ,e.g. 16 is 10 and 6 more; using ten-frames to represent teen numbers),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Numeral recognition and identification,NUM-NSA-NPV2-L3-I01,1,"identifies, names, writes and interprets numerals up to 20 (e.g. when shown the numerals 4, 17, 9 and 16 and asked “which is 16?”, points to the numeral 16, or when shown the numeral 17 says its correct name; when role-playing simple money transactions, counts out 9 one-dollar coins to pay for an item that costs $9)","identifies, names, writes and interprets numerals up to 20 ","e.g. when shown the numerals 4, 17, 9 and 16 and asked “which is 16?”, points to the numeral 16, or when shown the numeral 17 says its correct name; when role-playing simple money transactions, counts out 9 one-dollar coins to pay for an item that costs $9)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Numeral recognition and identification,NUM-NSA-NPV2-L3-I02,2,identifies and uses the 1–9 repeating sequence in the writing of teen numerals,identifies and uses the 1–9 repeating sequence in the writing of teen numerals,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Numeral recognition and identification,NUM-NSA-NPV2-L3-I03,3,identifies a whole quantity as the result of recognising smaller quantities up to 20 (e.g. uses part-part-whole knowledge of numbers to solve problems),identifies a whole quantity as the result of recognising smaller quantities up to 20 ,e.g. uses part-part-whole knowledge of numbers to solve problems),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Developing place value,NUM-NSA-NPV2-L3-I04,4,orders numbers from 1–20 (e.g. determines the largest number from a group of numbers in the range from one to 20; students are allocated a number between one and 20 and asked to arrange themselves in numerical order),orders numbers from 1–20 ,e.g. determines the largest number from a group of numbers in the range from one to 20; students are allocated a number between one and 20 and asked to arrange themselves in numerical order),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,3,Developing place value,NUM-NSA-NPV2-L3-I05,5,represents and describes teen numbers as 10 and some more (e.g. 16 is 10 and 6 more; using ten-frames to represent teen numbers),represents and describes teen numbers as 10 and some more ,e.g. 16 is 10 and 6 more; using ten-frames to represent teen numbers),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Numeral recognition and identification,NUM-NSA-NPV-L4-I01,1,"identifies, names, writes and interprets numerals up to and beyond 100 (e.g. is shown the numerals 70, 38, 56 and 26 and when asked “which is 38?”, identifies the numeral 38; writes 18, 81 and 108 with the digits in the correct position; compares the class sizes in a particular year level to determine which class has the greatest number of students)","identifies, names, writes and interprets numerals up to and beyond 100 ","e.g. is shown the numerals 70, 38, 56 and 26 and when asked “which is 38?”, identifies the numeral 38; writes 18, 81 and 108 with the digits in the correct position; compares the class sizes in a particular year level to determine which class has the greatest number of students)",,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Numeral recognition and identification,NUM-NSA-NPV-L4-I02,2,"identifies the 1–9 repeating sequence of digits, both in and between the decade numerals to order numbers and to predict the number that comes before or after another number (e.g. uses hundreds charts or vertical number lists)","identifies the 1–9 repeating sequence of digits, both in and between the decade numerals to order numbers and to predict the number that comes before or after another number ",e.g. uses hundreds charts or vertical number lists),,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Numeral recognition and identification,NUM-NSA-NPV-L4-I03,3,"identifies zero as both a number and a placeholder for reading and writing larger numerals, denoted by the numeral 0","identifies zero as both a number and a placeholder for reading and writing larger numerals, denoted by the numeral 0",,,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Place value,NUM-NSA-NPV-L4-I04,4,uses knowledge of place value to order numbers represented as numerals within the range of zero to at least 100 (e.g. locates the number 21 on a number line between 20 and 22; re-orders a set of numerals from least to greatest),uses knowledge of place value to order numbers represented as numerals within the range of zero to at least 100 ,e.g. locates the number 21 on a number line between 20 and 22; re-orders a set of numerals from least to greatest),,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Place value,NUM-NSA-NPV-L4-I05,5,"represents and renames two-digit numbers as counts of tens and ones (e.g. 68 is 6 tens and 8 ones, 68 ones, or 60 + 8; uses physical or virtual materials such as bundles of 10 toothpicks or base 10 blocks)",represents and renames two-digit numbers as counts of tens and ones ,"e.g. 68 is 6 tens and 8 ones, 68 ones, or 60 + 8; uses physical or virtual materials such as bundles of 10 toothpicks or base 10 blocks)",,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Numeral recognition and identification,NUM-NSA-NPV2-L4-I01,1,"identifies, names, writes and interprets numerals up to and beyond 100 (e.g. is shown the numerals 70, 38, 56 and 26 and when asked “which is 38?”, identifies the numeral 38; writes 18, 81 and 108 with the digits in the correct position; compares the class sizes in a particular year level to determine which class has the greatest number of students)","identifies, names, writes and interprets numerals up to and beyond 100 ","e.g. is shown the numerals 70, 38, 56 and 26 and when asked “which is 38?”, identifies the numeral 38; writes 18, 81 and 108 with the digits in the correct position; compares the class sizes in a particular year level to determine which class has the greatest number of students)",,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Numeral recognition and identification,NUM-NSA-NPV2-L4-I02,2,"identifies the 1–9 repeating sequence of digits, both in and between the decade numerals to order numbers and to predict the number that comes before or after another number (e.g. uses hundreds charts or vertical number lists)","identifies the 1–9 repeating sequence of digits, both in and between the decade numerals to order numbers and to predict the number that comes before or after another number ",e.g. uses hundreds charts or vertical number lists),,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Numeral recognition and identification,NUM-NSA-NPV2-L4-I03,3,"identifies zero as both a number and a placeholder for reading and writing larger numerals, denoted by the numeral 0","identifies zero as both a number and a placeholder for reading and writing larger numerals, denoted by the numeral 0",,,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Place value,NUM-NSA-NPV2-L4-I04,4,uses knowledge of place value to order numbers represented as numerals within the range of zero to at least 100 (e.g. locates the number 21 on a number line between 20 and 22; re-orders a set of numerals from least to greatest),uses knowledge of place value to order numbers represented as numerals within the range of zero to at least 100 ,e.g. locates the number 21 on a number line between 20 and 22; re-orders a set of numerals from least to greatest),,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,4,Place value,NUM-NSA-NPV2-L4-I05,5,"represents and renames two-digit numbers as counts of tens and ones (e.g. 68 is 6 tens and 8 ones, 68 ones, or 60 + 8; uses physical or virtual materials such as bundles of 10 toothpicks or base 10 blocks)",represents and renames two-digit numbers as counts of tens and ones ,"e.g. 68 is 6 tens and 8 ones, 68 ones, or 60 + 8; uses physical or virtual materials such as bundles of 10 toothpicks or base 10 blocks)",,Yes,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,5,Numeral recognition and identification,NUM-NSA-NPV-L5-I01,1,"identifies, names, writes and interprets a numeral from a range of numerals up to 1000 (e.g. is shown the numerals 70, 318, 576 and 276 and when asked “which is 276?”, identifies 276; compares the number of kilojoules in different energy drinks by reading the dietary information)","identifies, names, writes and interprets a numeral from a range of numerals up to 1000 ","e.g. is shown the numerals 70, 318, 576 and 276 and when asked “which is 276?”, identifies 276; compares the number of kilojoules in different energy drinks by reading the dietary information)",,,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,5,Place value,NUM-NSA-NPV-L5-I02,2,"orders and flexibly renames three-digit numbers according to their place value (e.g. 247 is 2 hundreds, 4 tens and 7 ones or 2 hundreds and 47 ones or 24 tens and 7 ones)",orders and flexibly renames three-digit numbers according to their place value ,"e.g. 247 is 2 hundreds, 4 tens and 7 ones or 2 hundreds and 47 ones or 24 tens and 7 ones)",,,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,5,Numeral recognition and identification,NUM-NSA-NPV-L5-I03,3,"applies an understanding of zero in place value notation when reading and writing numerals that include internal zeros (e.g. says 807 as 8 hundred and 7 or 80 tens and 7 ones, not 80 and 7)",applies an understanding of zero in place value notation when reading and writing numerals that include internal zeros ,"e.g. says 807 as 8 hundred and 7 or 80 tens and 7 ones, not 80 and 7)",,,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,5,Numeral recognition and identification,NUM-NSA-NPV2-L5-I01,1,"identifies, names, writes and interprets a numeral from a range of numerals up to 1000 (e.g. is shown the numerals 70, 318, 576 and 276 and when asked “which is 276?”, identifies 276; compares the number of kilojoules in different energy drinks by reading the dietary information)","identifies, names, writes and interprets a numeral from a range of numerals up to 1000 ","e.g. is shown the numerals 70, 318, 576 and 276 and when asked “which is 276?”, identifies 276; compares the number of kilojoules in different energy drinks by reading the dietary information)",,,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,5,Place value,NUM-NSA-NPV2-L5-I02,2,"orders and flexibly renames three-digit numbers according to their place value (e.g. 247 is 2 hundreds, 4 tens and 7 ones or 2 hundreds and 47 ones or 24 tens and 7 ones)",orders and flexibly renames three-digit numbers according to their place value ,"e.g. 247 is 2 hundreds, 4 tens and 7 ones or 2 hundreds and 47 ones or 24 tens and 7 ones)",,,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,5,Place value,NUM-NSA-NPV2-L5-I03,3,"applies an understanding of zero in place value notation when reading and writing numerals that include internal zeros (e.g. says 807 as 8 hundred and 7 or 80 tens and 7 ones, not 80 and 7)",applies an understanding of zero in place value notation when reading and writing numerals that include internal zeros ,"e.g. says 807 as 8 hundred and 7 or 80 tens and 7 ones, not 80 and 7)",,,Yes,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,6,Numeral recognition and identification,NUM-NSA-NPV-L6-I01,1,"identifies, reads, writes and interprets numerals beyond 1000, applying knowledge of place value, including numerals that contain a zero (e.g.  reads 1345 as one thousand, 3 hundred and 45; reads one thousand and 15 and writes as 1015; compares the size of populations of schools, suburbs, cities and ecosystems or the cost of items in shopping catalogues)","identifies, reads, writes and interprets numerals beyond 1000, applying knowledge of place value, including numerals that contain a zero ","e.g.  reads 1345 as one thousand, 3 hundred and 45; reads one thousand and 15 and writes as 1015; compares the size of populations of schools, suburbs, cities and ecosystems or the cost of items in shopping catalogues)",,,,Yes,,,,,,,
Numeracy,Number sense and algebra,Number and place value,6,Place value,NUM-NSA-NPV-L6-I02,2,"represents, flexibly partitions and renames four-digit numbers into standard and non-standard place value partitions (e.g. uses grid paper to show the size of each digit in 2202; renames 5645 as 3645 and 2000 in order to subtract 1998) ","represents, flexibly partitions and renames four-digit numbers into standard and non-standard place value partitions ",e.g. uses grid paper to show the size of each digit in 2202; renames 5645 as 3645 and 2000 in order to subtract 1998) ,,,,Yes,,,,,,,
Numeracy,Number sense and algebra,Counting processes,1,Counting sequences,NUM-NSA-CP2-L1-I01,1,identifies number words when reciting counting rhymes or when asked to count (e.g. holds up 3 fingers to represent 3 little ducks),identifies number words when reciting counting rhymes or when asked to count ,e.g. holds up 3 fingers to represent 3 little ducks),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,1,Pre-counting,NUM-NSA-CP2-L1-I02,2,"counts in stable counting order from one within a known number range (e.g. engages with counting in nursery rhymes, songs and children’s literature)",counts in stable counting order from one within a known number range ,"e.g. engages with counting in nursery rhymes, songs and children’s literature)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,2,Counting sequences,NUM-NSA-CP2-L2-I01,1,conceptually subitises a collection up to 5 (e.g. recognises a collection of 5 items as a result of perceptually subitising smaller parts such as 3 and 2),conceptually subitises a collection up to 5 ,e.g. recognises a collection of 5 items as a result of perceptually subitising smaller parts such as 3 and 2),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,2,Perceptual counting,NUM-NSA-CP2-L2-I02,2,counts a small number of items typically less than 4,counts a small number of items typically less than 4,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,2,Perceptual counting,NUM-NSA-CP2-L2-I03,3,engages in basic counting during play-based activities such as cooking or shopping (e.g. places 3 bananas in a shopping basket one at a time and says “”),engages in basic counting during play-based activities such as cooking or shopping ,e.g. places 3 bananas in a shopping basket one at a time and says “”),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,2,Perceptual counting,NUM-NSA-CP2-L2-I04,4,"counts forward by one using the full counting sequence to determine the number before or after a given number, within the range of 1–10 (e.g. when asked what number comes after 6, counts from one in sequence up to 7 then says “it’s 7”; when asked what number comes before 6, counts from one, 1-2-3-4-5-6 and responds “it’s 5”)","counts forward by one using the full counting sequence to determine the number before or after a given number, within the range of 1–10 ","e.g. when asked what number comes after 6, counts from one in sequence up to 7 then says “it’s 7”; when asked what number comes before 6, counts from one, 1-2-3-4-5-6 and responds “it’s 5”)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,3,Counting sequences,NUM-NSA-CP2-L3-I01,1,"matches the count to objects, using one-to-one correspondence (e.g. counts visible or orderly items by ones; may use objects, tally marks, bead strings, sounds or fingers to count; identifies that 2 sirens means it is lunchtime)","matches the count to objects, using one-to-one correspondence ","e.g. counts visible or orderly items by ones; may use objects, tally marks, bead strings, sounds or fingers to count; identifies that 2 sirens means it is lunchtime)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,3,Perceptual counting,NUM-NSA-CP2-L3-I02,2,"determines that the last number said in a count names the quantity or total of that collection (e.g. when asked “how many” after they have counted the collection, repeats the last number in the count and indicates that it refers to the number of items in the collection)",determines that the last number said in a count names the quantity or total of that collection ,"e.g. when asked “how many” after they have counted the collection, repeats the last number in the count and indicates that it refers to the number of items in the collection)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,4,Counting sequences,NUM-NSA-CP2-L4-I01,1,"uses knowledge of the counting sequence to determine the next number or previous number from a number in the range 1–10 (e.g. when asked what number comes directly after 8, immediately responds with “9” without needing to count from one)",uses knowledge of the counting sequence to determine the next number or previous number from a number in the range 1–10 ,"e.g. when asked what number comes directly after 8, immediately responds with “9” without needing to count from one)",Yes,Yes,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,4,Counting sequences,NUM-NSA-CP2-L4-I02,2,continues a count starting from a number other than 1,continues a count starting from a number other than 1,,Yes,Yes,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,4,Perceptual counting,NUM-NSA-CP2-L4-I03,3,interprets the count independently of the type of objects being counted (e.g. a quantity of 5 counters is the same quantity as 5 basketball courts),interprets the count independently of the type of objects being counted ,e.g. a quantity of 5 counters is the same quantity as 5 basketball courts),Yes,Yes,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,4,Perceptual counting,NUM-NSA-CP2-L4-I04,4,"counts a collection, keeping track of items that have been counted and those that haven’t been counted yet to ensure they are only counted exactly once (e.g. when asked to count a pile of blocks, moves each block to the side as it is counted)","counts a collection, keeping track of items that have been counted and those that haven’t been counted yet to ensure they are only counted exactly once ","e.g. when asked to count a pile of blocks, moves each block to the side as it is counted)",Yes,Yes,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,5,Counting sequences,NUM-NSA-CP2-L5-I01,1,uses knowledge of the counting sequence to determine the next number or previous number from any starting point within the range 1–100,uses knowledge of the counting sequence to determine the next number or previous number from any starting point within the range 1–100,,,Yes,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,5,Perceptual counting,NUM-NSA-CP2-L5-I02,2,"matches known numerals to collections of up to 20, counting items using a one-to-one correspondence","matches known numerals to collections of up to 20, counting items using a one-to-one correspondence",,,Yes,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,5,Perceptual counting,NUM-NSA-CP2-L5-I03,3,"uses zero to denote when no objects are present (e.g. when asked “how many cards have you got?” and has no cards left, says “zero”)",uses zero to denote when no objects are present ,"e.g. when asked “how many cards have you got?” and has no cards left, says “zero”)",,Yes,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,5,Perceptual counting,NUM-NSA-CP2-L5-I04,4,"counts objects in a collection independent of the order, appearance or arrangement (e.g. understands that counting 7 people in a row from left to right is the same as counting them from right to left)","counts objects in a collection independent of the order, appearance or arrangement ",e.g. understands that counting 7 people in a row from left to right is the same as counting them from right to left),,Yes,,,,,,,,,
Numeracy,Number sense and algebra,Counting processes,6,Counting sequences,NUM-NSA-CP2-L6-I01,1,"continues counting from any number forwards and backwards beyond 100, using knowledge of place value","continues counting from any number forwards and backwards beyond 100, using knowledge of place value",,,Yes,Yes,Yes,,,,,,,
Numeracy,Number sense and algebra,Counting processes,6,Counting sequences,NUM-NSA-CP2-L6-I02,2,"counts in sequence by twos and fives starting at zero (e.g. counts items using number rhymes “2, 4, 6, 8 Mary’s at the cottage gate …”; skip counts in fives as “5, 10, 15, 20”)",counts in sequence by twos and fives starting at zero ,"e.g. counts items using number rhymes “2, 4, 6, 8 Mary’s at the cottage gate …”; skip counts in fives as “5, 10, 15, 20”)",,Yes,Yes,Yes,,,,,,,
Numeracy,Number sense and algebra,Counting processes,6,Counting sequences,NUM-NSA-CP2-L6-I03,3,counts in sequence forwards and backwards by tens on the decade up to 100,counts in sequence forwards and backwards by tens on the decade up to 100,,,Yes,Yes,Yes,,,,,,,
