Code,Descriptor,Year Level,Learning Area,Subject,Strand,Sub-strand,Category,Linked Achievement IDs
AC9S2I01,pose questions to explore observed simple patterns and relationships and make predictions based on experiences,Year 2,Science,Science,Science Inquiry Skills,,SI-Questioning,Y2-SCI-AS-02
AC9S2I02,suggest and follow safe procedures to investigate questions and test predictions,Year 2,Science,Science,Science Inquiry Skills,,SI-Questioning,Y2-SCI-AS-06
AC9S2I03,"make and record observations, including informal measurements, using digital tools as appropriate",Year 2,Science,Science,Science Inquiry Skills,,SI-Measuring,Y2-SCI-AS-06
AC9S2I04,"sort and order data and information and represent patterns, including with provided tables and visual or physical models",Year 2,Science,Science,Science Inquiry Skills,,SI-IdentifyingPatterns,Y2-SCI-AS-08
AC9S2I05,"compare observations with predictions and others’ observations, consider if investigations are fair and identify further questions with guidance",Year 2,Science,Science,Science Inquiry Skills,,SI-Questioning,Y2-SCI-AS-09
AC9S2I06,"write and create texts to communicate observations, findings and ideas, using everyday and scientific vocabulary.",Year 2,Science,Science,Science Inquiry Skills,,SI-Communicating,Y2-SCI-AS-07
AC9S2U01,"recognise Earth is a planet in the solar system and identify patterns in the changing position of the sun, moon, planets and stars in the sky",Year 2,Science,Science,Science Understanding,,SU-EarthSpace,Y2-SCI-AS-01
AC9S2U02,"explore different actions to make sounds and how to make a variety of sounds, and recognise that sound energy causes objects to vibrate",Year 2,Science,Science,Science Understanding,,SU-Physical,Y2-SCI-AS-03
AC9S2U03,"recognise that materials can be changed physically without changing their material composition and explore the effect of different actions on materials including bending, twisting, stretching and breaking into smaller pieces",Year 2,Science,Science,Science Understanding,,SU-Chemical,Y2-SCI-AS-05
AC9S3H01,examine how people use data to develop scientific explanations,Year 3,Science,Science,Science as a Human Endeavour,,SHE-DataUse,Y3-SCI-AS-06
AC9S3H02,consider how people use scientific explanations to meet a need or solve a problem,Year 3,Science,Science,Science as a Human Endeavour,,SHE-ScienceUse,Y3-SCI-AS-08
AC9S3I01,pose questions to explore observed patterns and relationships and make predictions based on observations,Year 3,Science,Science,Science Inquiry Skills,,SI-Questioning,Y3-SCI-AS-02
AC9S3I02,"use provided scaffolds to plan and conduct investigations to answer questions or test predictions, including identifying the elements of fair tests, and considering the safe use of materials and equipment",Year 3,Science,Science,Science Inquiry Skills,,SI-Questioning,Y3-SCI-AS-12
AC9S3I03,"follow procedures to make and record observations, including making formal measurements using familiar scaled instruments and using digital tools as appropriate",Year 3,Science,Science,Science Inquiry Skills,,SI-Measuring,Y3-SCI-AS-11
AC9S3I04,"construct and use representations, including tables, simple column graphs and visual or physical models, to organise data and information, show simple relationships and identify patterns",Year 3,Science,Science,Science Inquiry Skills,,SI-IdentifyingPatterns,Y3-SCI-AS-10
AC9S3I05,"compare findings with those of others, consider if investigations were fair, identify questions for further investigation and draw conclusions",Year 3,Science,Science,Science Inquiry Skills,,SI-Questioning,Y3-SCI-AS-05
AC9S3I06,"write and create texts to communicate findings and ideas for identified purposes and audiences, using scientific vocabulary and digital tools as appropriate.",Year 3,Science,Science,Science Inquiry Skills,,SI-Communicating,Y3-SCI-AS-04
AC9S3U01,compare characteristics of living and non-living things and examine the differences between the life cycles of plants and animals,Year 3,Science,Science,Science Understanding,,SU-Biological,Y3-SCI-AS-01
AC9S3U02,"compare the observable properties of soils, rocks and minerals and investigate why they are important Earth resources",Year 3,Science,Science,Science Understanding,,SU-EarthSpace,Y3-SCI-AS-07
AC9S3U03,identify sources of heat energy and examine how temperature changes when heat energy is transferred from one object to another,Year 3,Science,Science,Science Understanding,,SU-Physical,Y3-SCI-AS-09
AC9S3U04,investigate the observable properties of solids and liquids and how adding or removing heat energy leads to a change of state,Year 3,Science,Science,Science Understanding,,SU-Physical,Y3-SCI-AS-03
AC9S4H01,examine how people use data to develop scientific explanations,Year 4,Science,Science,Science as a Human Endeavour,,SHE-DataUse,Y4-SCI-AS-05
AC9S4H02,consider how people use scientific explanations to meet a need or solve a problem,Year 4,Science,Science,Science as a Human Endeavour,,SHE-ScienceUse,Y4-SCI-AS-08
AC9S4I01,pose questions to explore observed patterns and relationships and make predictions based on observations,Year 4,Science,Science,Science Inquiry Skills,,SI-Questioning,Y4-SCI-AS-10
AC9S4I02,"use provided scaffolds to plan and conduct investigations to answer questions or test predictions, including identifying the elements of fair tests, and considering the safe use of materials and equipment",Year 4,Science,Science,Science Inquiry Skills,,SI-Questioning,Y4-SCI-AS-09
AC9S4I03,"follow procedures to make and record observations, including making formal measurements using familiar scaled instruments and using digital tools as appropriate",Year 4,Science,Science,Science Inquiry Skills,,SI-Measuring,Y4-SCI-AS-12
AC9S4I04,"construct and use representations, including tables, simple column graphs and visual or physical models, to organise data and information, show simple relationships and identify patterns",Year 4,Science,Science,Science Inquiry Skills,,SI-IdentifyingPatterns,Y4-SCI-AS-04
AC9S4I05,"compare findings with those of others, consider if investigations were fair, identify questions for further investigation and draw conclusions",Year 4,Science,Science,Science Inquiry Skills,,SI-Questioning,Y4-SCI-AS-03
AC9S4I06,"write and create texts to communicate findings and ideas for identified purposes and audiences, using scientific vocabulary and digital tools as appropriate.",Year 4,Science,Science,Science Inquiry Skills,,SI-Communicating,Y4-SCI-AS-02
AC9S4U01,"explain the roles and interactions of consumers, producers and decomposers within a habitat and how food chains represent feeding relationships",Year 4,Science,Science,Science Understanding,,SU-Physical,Y4-SCI-AS-01
AC9S4U02,"identify sources of water and describe key processes in the water cycle, including movement of water through the sky, landscape and ocean; precipitation; evaporation; and condensation",Year 4,Science,Science,Science Understanding,,SU-Physical,Y4-SCI-AS-07
AC9S4U03,"identify how forces can be exerted by one object on another and investigate the effect of frictional, gravitational and magnetic forces on the motion of objects",Year 4,Science,Science,Science Understanding,,SU-Physical,Y4-SCI-AS-06
AC9S4U04,"examine the properties of natural and made materials including fibres, metals, glass and plastics and consider how these properties influence their use",Year 4,Science,Science,Science Understanding,,SU-Chemical,Y4-SCI-AS-11
AC9S5H01,examine why advances in science are often the result of collaboration or build on the work of others,Year 5,Science,Science,Science as a Human Endeavour,,SHE-ScientificKnowledge,Y5-SCI-AS-05
AC9S5H02,"investigate how scientific knowledge is used by individuals and communities to identify problems, consider responses and make decisions",Year 5,Science,Science,Science as a Human Endeavour,,SHE-ScientificKnowledge,Y5-SCI-AS-07
AC9S5I01,pose investigable questions to identify patterns and test relationships and make reasoned predictions,Year 5,Science,Science,Science Inquiry Skills,,SI-Questioning,Y5-SCI-AS-02
AC9S5I02,"plan and conduct repeatable investigations to answer questions, including, as appropriate, deciding the variables to be changed, measured and controlled in fair tests; describing potential risks; planning for the safe use of equipment and materials; and identifying required permissions to conduct investigations on Country/Place",Year 5,Science,Science,Science Inquiry Skills,,SI-Questioning,"Y5-SCI-AS-02, Y5-SCI-AS-08, Y5-SCI-AS-10"
AC9S5I03,"use equipment to observe, measure and record data with reasonable precision, using digital tools as appropriate",Year 5,Science,Science,Science Inquiry Skills,,SI-Observing,Y5-SCI-AS-12
AC9S5I04,"construct and use appropriate representations, including tables, graphs and visual or physical models, to organise and process data and information and describe patterns, trends and relationships",Year 5,Science,Science,Science Inquiry Skills,,SI-IdentifyingPatterns,Y5-SCI-AS-04
AC9S5I05,"compare methods and findings with those of others, recognise possible sources of error, pose questions for further investigation and select evidence to draw reasoned conclusions",Year 5,Science,Science,Science Inquiry Skills,,SI-Questioning,Y5-SCI-AS-03
AC9S5U01,examine how particular structural features and behaviours of living things enable their survival in specific habitats,Year 5,Science,Science,Science Understanding,,SU-Biological,Y5-SCI-AS-01
AC9S5U02,"describe how weathering, erosion, transportation and deposition cause slow or rapid change to Earth’s surface",Year 5,Science,Science,Science Understanding,,SU-EarthSpace,Y5-SCI-AS-06
AC9S5U03,"identify sources of light, recognise that light travels in a straight path and describe how shadows are formed and light can be reflected and refracted",Year 5,Science,Science,Science Understanding,,SU-Physical,Y5-SCI-AS-09
AC9S5U04,"explain observable properties of solids, liquids and gases by modelling the motion and arrangement of particles",Year 5,Science,Science,Science Understanding,,SU-Physical,Y5-SCI-AS-11
AC9S6H01,examine why advances in science are often the result of collaboration or build on the work of others,Year 6,Science,Science,Science as a Human Endeavour,,SHE-ScientificKnowledge,Y6-SCI-AS-07
AC9S6H02,"investigate how scientific knowledge is used by individuals and communities to identify problems, consider responses and make decisions",Year 6,Science,Science,Science as a Human Endeavour,,SHE-ScientificKnowledge,Y6-SCI-AS-05
AC9S6I01,pose investigable questions to identify patterns and test relationships and make reasoned predictions,Year 6,Science,Science,Science Inquiry Skills,,SI-Questioning,Y6-SCI-AS-02
AC9S6I02,"plan and conduct repeatable investigations to answer questions including, as appropriate, deciding the variables to be changed, measured and controlled in fair tests; describing potential risks; planning for the safe use of equipment and materials; and identifying required permissions to conduct investigations on Country/Place",Year 6,Science,Science,Science Inquiry Skills,,SI-Questioning,"Y6-SCI-AS-02, Y6-SCI-AS-06, Y6-SCI-AS-09"
AC9S6I03,"use equipment to observe, measure and record data with reasonable precision, using digital tools as appropriate",Year 6,Science,Science,Science Inquiry Skills,,SI-Observing,Y6-SCI-AS-12
AC9S6I04,"construct and use appropriate representations, including tables, graphs and visual or physical models, to organise and process data and information and describe patterns, trends and relationships",Year 6,Science,Science,Science Inquiry Skills,,SI-IdentifyingPatterns,Y6-SCI-AS-04
AC9S6I06,"write and create texts to communicate ideas and findings for specific purposes and audiences, including selection of language features, using digital tools as appropriate.",Year 6,Science,Science,Science Inquiry Skills,,SI-Communicating,Y6-SCI-AS-11
AC9S6U01,investigate the physical conditions of a habitat and analyse how the growth and survival of living things is affected by changing physical conditions,Year 6,Science,Science,Science Understanding,,SU-Biological,Y6-SCI-AS-01
AC9S6U02,"describe the movement of Earth and other planets relative to the sun and model how Earth’s tilt, rotation on its axis and revolution around the sun relate to cyclic observable phenomena, including variable day and night length",Year 6,Science,Science,Science Understanding,,SU-EarthSpace,Y6-SCI-AS-10
AC9S6U03,"investigate the transfer and transformation of energy in electrical circuits, including the role of circuit components, insulators and conductors",Year 6,Science,Science,Science Understanding,,SU-Physical,Y6-SCI-AS-08
AC9S6U04,"compare reversible changes, including dissolving and changes of state, and irreversible changes, including cooking and rusting that produce new substances",Year 6,Science,Science,Science Understanding,,SU-Chemical,Y6-SCI-AS-03
AC9SFH01,explore the ways people make and use observations and questions to learn about the natural world,Foundation,Science,Science,Science as a Human Endeavour,,SHE-ScienceUse,PFD-SCI-AS-05
AC9SFI01,pose questions and make predictions based on experiences,Foundation,Science,Science,Science Inquiry Skills,,SI-Questioning,PFD-SCI-AS-02
AC9SFI02,engage in investigations safely and make observations using their senses,Foundation,Science,Science,Science Inquiry Skills,,SI-Inquiry,PFD-SCI-AS-04
AC9SFI03,represent observations in provided templates and identify patterns with guidance,Foundation,Science,Science,Science Inquiry Skills,,SI-IdentifyingPatterns,PFD-SCI-AS-09
AC9SFI04,compare observations with predictions with guidance,Foundation,Science,Science,Science Inquiry Skills,,SI-Predicting,PFD-SCI-AS-08
AC9SFI05,"share questions, predictions, observations and ideas with others.",Foundation,Science,Science,Science Inquiry Skills,,SI-Questioning,PFD-SCI-AS-07
AC9SFU01,observe external features of plants and animals and describe ways they can be grouped based on these features,Foundation,Science,Science,Science Understanding,,SU-Biological,PFD-SCI-AS-01
AC9SFU02,"describe how objects move and how factors including their size, shape or material influence their movement",Foundation,Science,Science,Science Understanding,,SU-Chemical,PFD-SCI-AS-06
AC9SFU03,recognise that objects can be composed of different materials and describe the observable properties of those materials,Foundation,Science,Science,Science Understanding,,SU-Chemical,PFD-SCI-AS-03
AC9HS1K01,"differences in family structures and roles today, and how these have changed or remained the same over time (History)",Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-02
AC9HS1K02,continuity and change between aspects of their daily lives and their parents’ and grandparents’ childhoods (History),Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-02
AC9HS1K03,"the natural, managed and constructed features of local places, and their location (Geography)",Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-05
AC9HS1K04,how places change and how they can be cared for by different groups including First Nations Australians (Geography),Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-05
AC9HS1S01,"to develop questions about objects, people, places and events in the past and present",Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-01
AC9HS1S02,"to collect, sort and record information and data from observations and from provided sources, including unscaled timelines and labelled maps or models",Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-01
AC9HS1S03,"to interpret information and data from observations and provided sources, including the comparison of objects from the past and present",Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-06
AC9HS1S04,"to discuss perspectives related to objects, people, places and events",Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-06
AC9HS1S05,to draw conclusions and make proposals,Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-04
AC9HS1S06,"to develop narratives and share observations, using sources, and subject-specific terms.",Year 1,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y1-HS-AS-03
AC9HS2K01,"a local individual, group, place or building and the reasons for their importance, including social, cultural or spiritual significance (History)",Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-03
AC9HS2K02,"how technological developments changed people’s lives at home, and in the ways they worked, travelled and communicated (History)",Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-07
AC9HS2K03,"how places can be spatially represented in geographical divisions from local to regional to state/territory, and how people and places are interconnected across those scales (Geography)",Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-02
AC9HS2K04,the interconnections of Australian First Nations Peoples to a local Country/Place (Geography),Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-06
AC9HS2S01,"to develop questions about objects, people, places and events in the past and present",Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-01
AC9HS2S02,"to collect, sort and record information and data from observations and from provided sources, including unscaled timelines and labelled maps or models",Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-01
AC9HS2S03,"to interpret information and data from observations and provided sources, including the comparison of objects from the past and present",Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-08
AC9HS2S04,"to discuss perspectives related to objects, people, places and events",Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-08
AC9HS2S05,to draw conclusions and make proposals,Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-04
AC9HS2S06,"to develop narratives and share observations, using sources, and subject-specific terms.",Year 2,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y2-HS-AS-05
AC9HS3K01,"causes and effects of changes to the local community, and how people who may be from diverse backgrounds have contributed to these changes (History)",Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,"Y3-HS-AS-01, Y3-HS-AS-08"
AC9HS3K03,"the representation of contemporary Australia as states and territories, and as the Countries/Places of First Nations Australians prior to colonisation, and the locations of Australia’s neighbouring regions and countries (Geography)",Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-07
AC9HS3K04,the ways First Nations Australians in different parts of Australia are interconnected with Country/Place (Geography),Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-09
AC9HS3K05,"the similarities and differences between places in Australia and neighbouring countries in terms of their natural, managed and constructed features (Geography)",Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-09
AC9HS3K06,"who makes rules, why rules are important in the school and/or the local community, and the consequences of rules not being followed (Civics and Citizenship)",Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-02
AC9HS3K07,why people participate within communities and how students can actively participate and contribute to communities (Civics and Citizenship),Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-02
AC9HS3S01,"develop questions to guide investigations about people, events, places and issues",Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-03
AC9HS3S02,"locate, collect and record information and data from a range of sources, including annotated timelines and maps",Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-03
AC9HS3S03,interpret information and data displayed in different formats,Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-10
AC9HS3S04,"analyse information and data, and identify perspectives",Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-06
AC9HS3S05,draw conclusions based on analysis of information,Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-06
AC9HS3S06,propose actions or responses to an issue or challenge that consider possible effects of actions,Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-04
AC9HS3S07,"present descriptions and explanations, using ideas from sources and relevant subject-specific terms.",Year 3,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y3-HS-AS-05
AC9HS4K01,"the diversity of First Nations Australians, their social organisation and their continuous connection to Country/Place (History)",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-01
AC9HS4K02,the causes of the establishment of the first British colony in Australia in 1788 (History),Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-07
AC9HS4K03,"the experiences of individuals and groups, including military and civilian officials, and convicts involved in the establishment of the first British colony (History)",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-01
AC9HS4K04,the effects of contact with other people on First Nations Australians and their Countries/Places following the arrival of the First Fleet and how this was viewed by First Nations Australians as an invasion (History),Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-06
AC9HS4K05,"the importance of environments, including natural vegetation and water sources, to people and animals in Australia and on another continent (Geography)",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-02
AC9HS4K06,"sustainable use and management of renewable and non-renewable resources, including the custodial responsibility First Nations Australians have for Country/Place (Geography)",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-02
AC9HS4K07,"the differences between “rules” and “laws”, why laws are important and how they affect the lives of people (Civics and Citizenship)",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-08
AC9HS4K08,the roles of local government and how members of the community use and contribute to local services (Civics and Citizenship),Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-08
AC9HS4K09,"diversity of cultural, religious and/or social groups to which they and others in the community belong, and their importance to identity (Civics and Citizenship)",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-08
AC9HS4S01,"to develop questions to guide investigations about people, events, places and issues",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-03
AC9HS4S02,"to locate, collect and record information and data from a range of sources, including annotated timelines and maps",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-03
AC9HS4S03,to interpret information and data displayed in different formats,Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-09
AC9HS4S04,"to analyse information and data, and identify perspectives",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-09
AC9HS4S05,to draw conclusions based on analysis of information,Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-09
AC9HS4S06,to propose actions or responses to an issue or challenge that consider possible effects of actions,Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-04
AC9HS4S07,"to present descriptions and explanations, using ideas from sources and relevant subject-specific terms.",Year 4,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y4-HS-AS-05
AC9HS5K01,"the economic, political and social causes of the establishment of British colonies in Australia after 1800 (History)",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-04
AC9HS5K02,"the impact of the development of British colonies in Australia on the lives of First Nations Australians, the colonists and convicts, and on the natural environment (History)",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-10
AC9HS5K03,"the role of a significant individual or group, including First Nations Australians and those who migrated to Australia, in the development of events in an Australian colony (History)",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-10
AC9HS5K04,"the influence of people, including First Nations Australians and people in other countries, on the characteristics of a place (Geography)",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-08
AC9HS5K05,"the management of Australian environments, including managing severe weather events such as bushfires, floods, droughts or cyclones, and their consequences (Geography)",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-08
AC9HS5K06,"the key values and features of Australia’s democracy, including elections, and the roles and responsibilities of elected representatives (Civics and Citizenship)",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-05
AC9HS5K07,how citizens (members of communities) with shared beliefs and values work together to achieve a civic goal (Civics and Citizenship),Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-05
AC9HS5K08,"types of resources, including natural, human and capital, and how they satisfy needs and wants
(Economics and Business)",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-09
AC9HS5S01,"to develop questions to investigate people, events, developments, places and systems",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-02
AC9HS5S02,"to locate, collect and organise information and data from primary and secondary sources in a range of formats",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-02
AC9HS5S03,"to evaluate information and data in a range of formats to identify and describe patterns and trends, or to infer relationships",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-03
AC9HS5S04,"to evaluate primary and secondary sources to determine origin, purpose and perspectives",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-07
AC9HS5S05,to develop evidence-based conclusions,Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-11
AC9HS5S06,to propose actions or responses to issues or challenges and use criteria to assess the possible effects,Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-01
AC9HS5S07,"to present descriptions and explanations, drawing ideas, findings and viewpoints from sources, and using relevant terms and conventions.",Year 5,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y5-HS-AS-06
AC9HS6K01,"significant individuals, events and ideas that led to Australia’s Federation, the Constitution and democratic system of government (History)",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-04
AC9HS6K02,"changes in Australia's political system and to Australian citizenship after Federation and throughout the 20th century that impacted First Nations Australians, migrants, women and children (History)",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-04
AC9HS6K03,"the motivation of people migrating to Australia since Federation and throughout the 20th century, their stories and effects on Australian society, including migrants from the Asia region (History)",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-10
AC9HS6K04,"the geographical diversity and location of places in the Asia region, and its location in relation to
Australia (Geography)",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-11
AC9HS6K05,"Australia’s interconnections with other countries and how these change people and places
(Geography)",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-11
AC9HS6K06,"the key institutions of Australia’s system of government, how it is based on the Westminster system, and the key values and beliefs of Western democracies (Civics and Citizenship)",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-03
AC9HS6K07,the roles and responsibilities of the 3 levels of government in Australia (Civics and Citizenship),Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-03
AC9HS6K08,influences on consumer choices and strategies that can be used to help make informed personal consumer and financial choices (Economics and Business),Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-09
AC9HS6S01,"to develop questions to investigate people, events, developments, places and systems",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-01
AC9HS6S02,"to locate, collect and organise information and data from primary and secondary sources in a range of formats",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-01
AC9HS6S03,"to evaluate information and data in a range of formats to identify and describe patterns and trends, or to infer relationships",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-02
AC9HS6S04,"to evaluate primary and secondary sources to determine origin, purpose and perspectives",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-08
AC9HS6S05,to develop evidence-based conclusions,Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-07
AC9HS6S06,to propose actions or responses to issues or challenges and use criteria to assess the possible effects,Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-05
AC9HS6S07,"to present descriptions and explanations, drawing ideas, findings and viewpoints from sources, and using relevant terms and conventions.",Year 6,Humanities and Social Sciences,HASS,Knowledge and understanding,,,Y6-HS-AS-06
AC9HSFK01,"the people in their family, where they were born and raised, and how they are related to each other
(History)",Foundation,Humanities and Social Sciences,HASS,Knowledge and understanding,,,P-HS-AS-01
AC9HSFK02,"the celebrations and commemorations of significant events shared with their families and others
(History)",Foundation,Humanities and Social Sciences,HASS,Knowledge and understanding,,,P-HS-AS-01
AC9HSFK03,"the features of familiar places they belong to, why some places are special and how places can be looked after (Geography)",Foundation,Humanities and Social Sciences,HASS,Knowledge and understanding,,,P-HS-AS-03
AC9HSFK04,the importance of Country/Place to First Nations Australians and the Country/Place on which the school is located (Geography),Foundation,Humanities and Social Sciences,HASS,Knowledge and understanding,,,P-HS-AS-03
AC9HSFS01,"to pose questions about familiar objects, people, places and events",Foundation,Humanities and Social Sciences,HASS,Knowledge and understanding,,,P-HS-AS-02
AC9HSFS02,to sort and record information including pictorial timelines and locations on pictorial maps or models,Foundation,Humanities and Social Sciences,HASS,Knowledge and understanding,,,P-HS-AS-02
AC9HSFS03,"to share a perspective on information, such as stories about significant events and special places",Foundation,Humanities and Social Sciences,HASS,Knowledge and understanding,,,P-HS-AS-05
AC9HSFS04,to draw conclusions in response to questions,Foundation,Humanities and Social Sciences,HASS,Knowledge and understanding,,,P-HS-AS-05
AC9HSFS05,"to share narratives and observations, using sources and terms about the past and places.",Foundation,Humanities and Social Sciences,HASS,Knowledge and understanding,,,P-HS-AS-04
AC9HP2P01,"describe their personal qualities and those of others, and explain how they contribute to developing identities",Year 2,Health and Physical Education,Health and Physical Education,Knowledge and understanding,,,"Y1-HP-AS-01, Y2-HP-AS-01"
AC9HP4P01,"investigate how success, challenge, setbacks and failure strengthen resilience and identities in a range of contexts",Year 4,Health and Physical Education,Health and Physical Education,Knowledge and understanding,,,"Y3-HP-AS-01, Y4-HP-AS-01"
AC9HP4P02,"plan, rehearse and reflect on strategies to cope with the different changes and transitions they experience, such as the changes associated with puberty",Year 4,Health and Physical Education,Health and Physical Education,Knowledge and understanding,,,"Y3-HP-AS-01, Y4-HP-AS-01"
AC9HP4P06,explain how and why emotional responses can vary and practise strategies to manage their emotions,Year 4,Health and Physical Education,Health and Physical Education,Knowledge and understanding,,,"Y3-HP-AS-01, Y4-HP-AS-01"
AC9HP6M01,adapt and modify movement skills across a variety of situations,Year 6,Health and Physical Education,Health and Physical Education,Knowledge and understanding,,,"Y5-HP-AS-04, Y6-HP-AS-04"
AC9HP6M02,transfer familiar movement strategies to different movement situations,Year 6,Health and Physical Education,Health and Physical Education,Knowledge and understanding,,,"Y5-HP-AS-10, Y6-HP-AS-10"
