Code,Descriptor,Year Level,Learning Area,Subject,Strand,Sub-strand,Category,Linked Achievement IDs
AC9M2SP01,"recognise, compare and classify shapes, referencing the number of sides and using spatial terms such as “opposite”, “parallel”, “curved” and “straight”",Year 2,Mathematics,Mathematics,Measurement and Geometry,,,Y2-AS-02
AC9M2SP02,locate positions in two-dimensional representations of a familiar space; move positions by following directions and pathways,Year 2,Mathematics,Mathematics,Measurement and Geometry,,,Y2-AS-06
AC9M2ST01AC9M2ST02,"acquire data for categorical variables through surveys, observation, experiment and using digital tools; sort data into relevant categories and display data using lists and tables
create different graphical representations of data using software where appropriate; compare the different representations, identify and describe common and distinctive features in response to questions.",Year 2,Mathematics,Mathematics,Measurement and Geometry,,,Y2-AS-08
AC9M3A01,"recognise and explain the connection between addition and subtraction as inverse operations, apply to partition numbers and find unknown values in number sentences",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-11
AC9M3A02,extend and apply knowledge of addition and subtraction facts to 20 to develop efficient mental strategies for computation with larger numbers without a calculator,Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-06
AC9M3A03,"recall and demonstrate proficiency with multiplication facts for 3, 4, 5 and 10; extend and apply facts to develop the related division facts",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-16
AC9M3M01,identify which metric units are used to measure everyday items; use measurements of familiar items and known units to make estimates,Year 3,Mathematics,Mathematics,Measurement and Geometry,,,"Y3-AS-09, Y3-AS-15"
AC9M3M02,"measure and compare objects using familiar metric units of length, mass and capacity, and instruments with labelled markings",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-15
AC9M3M03,"recognise and use the relationship between formal units of time including days, hours, minutes and seconds to estimate and compare the duration of events",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,"Y3-AS-05, Y3-AS-15"
AC9M3M04,"describe the relationship between the hours and minutes on analog and digital clocks, and read the time to the nearest minute",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-05
AC9M3M05,identify angles as measures of turn and compare angles with right angles in everyday situations,Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-07
AC9M3M06,recognise the relationships between dollars and cents and represent money values in different ways,Year 3,Mathematics,Mathematics,Measurement and Geometry,,,"Y3-AS-09, Y3-AS-11, Y3-AS-13"
AC9M3N01,"recognise, represent and order natural numbers using naming and writing conventions for numerals
beyond 10 000",Year 3,Mathematics,Mathematics,Number and Algebra,,,Y3-AS-01
AC9M3N02,"recognise and represent unit fractions including 1, 1, 1, 1 and 1 and their multiples in different ways;
2  3 4 5	10
combine fractions with the same denominator to complete the whole",Year 3,Mathematics,Mathematics,Number and Algebra,,,Y3-AS-14
AC9M3N03,"add and subtract two- and three-digit numbers using place value to partition, rearrange and regroup numbers to assist in calculations without a calculator",Year 3,Mathematics,Mathematics,Number and Algebra,,,"Y3-AS-06, Y3-AS-11"
AC9M3N04,"multiply and divide one- and two-digit numbers, representing problems using number sentences, diagrams and arrays, and using a variety of calculation strategies",Year 3,Mathematics,Mathematics,Number and Algebra,,,Y3-AS-16
AC9M3N05,estimate the quantity of objects in collections and make estimates when solving problems to determine the reasonableness of calculations,Year 3,Mathematics,Mathematics,Number and Algebra,,,Y3-AS-09
AC9M3N06,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate problems using number sentences and choose calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation",Year 3,Mathematics,Mathematics,Number and Algebra,,,"Y3-AS-06, Y3-AS-09, Y3-AS-16"
AC9M3N07,follow and create algorithms involving a sequence of steps and decisions to investigate numbers; describe any emerging patterns,Year 3,Mathematics,Mathematics,Number and Algebra,,,Y3-AS-04
AC9M3P01,identify practical activities and everyday events involving chance; describe possible outcomes and events as ‘likely’ or ‘unlikely’ and identify some events as ‘certain’ or ‘impossible’ explaining reasoning,Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-17
AC9M3P02,"conduct repeated chance experiments; identify and describe possible outcomes, record the results, recognise and discuss the variation",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,"Y3-AS-03, Y3-AS-17"
AC9M3SP01,"make, compare and classify objects, identifying key features and explaining why these features make them suited to their uses",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-10
AC9M3SP02,"interpret and create two-dimensional representations of familiar environments, locating key landmarks and objects relative to each other",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-08
AC9M3ST01,"acquire data for categorical and discrete numerical variables to address a question of interest or purpose by observing, collecting and accessing data sets; record the data using appropriate methods including frequency tables and spreadsheets",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,"Y3-AS-02, Y3-AS-12"
AC9M3ST02,create and compare different graphical representations of data sets including using software where appropriate; interpret the data in terms of the context,Year 3,Mathematics,Mathematics,Measurement and Geometry,,,"Y3-AS-02, Y3-AS-12"
AC9M3ST03,"conduct guided statistical investigations involving the collection, representation and interpretation of data for categorical and discrete numerical variables with respect to questions of interest",Year 3,Mathematics,Mathematics,Measurement and Geometry,,,Y3-AS-02
